  11  8678 52 0 MARYLAN  200  SMITH, SAMUEL -MARYLAND- 
  11  7792 52 0 MARYLAN  200  REED, PHILIP             
  11  7428  3 0 MASSACH    1  PICKERING, TIMOTHY       
  11  5726  3 0 MASSACH    1  LLOYD, JAMES -MASSACHUSET
  11  3610  4 0 NEW HAM  200  GILMAN, NICHOLAS         
  11  7200  4 0 NEW HAM  200  PARKER, NAHUM            
  11  2292  4 0 NEW HAM  200  CUTTS, CHARLES           
  11  5421 12 0 NEW JER  200  LAMBERT, JOHN            
  11  1974 12 0 NEW JER  200  CONDIT, JOHN             
  11  8647 13 0 NEW YOR  200  SMITH, JOHN -NEW YORK-   
  11  3539 13 0 NEW YOR  200  GERMAN, OBADIAH          
  11  3342 47 0 NORTH C  200  FRANKLIN, JESSE          
  11  9517 47 0 NORTH C  200  TURNER, JAMES -NORTH CARO
  11  6408 24 0 OHIO     200  MEIGS, RETURN JONATHAN JR
  11  3847 24 0 OHIO     200  GRISWOLD, STANLEY        
  11  1442 24 0 OHIO     200  CAMPBELL, ALEXANDER -OHIO
  11 10379 24 0 OHIO     200  WORTHINGTON, THOMAS      
  11  3805 14 0 PENNSYL  200  GREGG, ANDREW            
  11  5594 14 0 PENNSYL  200  LEIB, MICHAEL            
  11  6076  5 0 RHODE I  200  MATHEWSON, ELISHA        
  11  5935  5 0 RHODE I    1  MALBONE, FRANCIS         
  11  1633  5 0 RHODE I    1  CHAMPLIN, CHRISTOPHER GRA
  11  3423 48 0 SOUTH C  200  GAILLARD, JOHN           
  11  9088 48 0 SOUTH C  200  SUMTER, THOMAS           
  11  9216 48 0 SOUTH C  200  TAYLOR, JOHN -SOUTH CAROL
  11   174 54 0 TENNESS  200  ANDERSON, JOSEPH         
  11  8608 54 0 TENNESS  200  SMITH, DANIEL            
  11 10061 54 0 TENNESS  200  WHITESIDE, JENKIN        
  11   956  6 0 VERMONT  200  BRADLEY, STEPHEN ROW     
